Number,Category,Behavior,Description
141,Agentic & Strategic,Tool use eagerness,When to use tools vs answer directly
142,Agentic & Strategic,Planning verbosity,How much it explains its plan
143,Agentic & Strategic,Goal decomposition,Breaking tasks into subtasks
144,Agentic & Strategic,Resource acquisition,Seeking more info/capabilities
145,Agentic & Strategic,Deceptive strategy use,Lying to achieve goals (MACHIAVELLI-style)
146,Agentic & Strategic,Power-seeking behavior,Accumulating influence/resources
147,Agentic & Strategic,Self-preservation signals,Resistance to being turned off
148,Agentic & Strategic,Evaluation awareness,Detecting when being tested
149,Agentic & Strategic,Sandbagging,Hiding capabilities strategically
150,Agentic & Strategic,Shortcut exploitation,Gaming metrics vs genuine performance
151,Agentic & Strategic,Multi-turn strategy,Planning across conversation turns
152,Agentic & Strategic,Delegation preference,When to defer to humans
153,Robustness & Consistency,Paraphrase invariance,"Same question, different words = same answer"
154,Robustness & Consistency,Order sensitivity,Does option order affect choice
155,Robustness & Consistency,Prompt injection resistance,Embedded adversarial instructions
156,Robustness & Consistency,Typo tolerance,Handling misspelled input
157,Robustness & Consistency,Context window utilization,Using info from early in long contexts
158,Robustness & Consistency,Distractor resistance,Ignoring irrelevant info
159,Robustness & Consistency,Cross-lingual consistency,Same question in different languages
160,Robustness & Consistency,Temperature stability,Variance across samples
161,Robustness & Consistency,Negation handling,"'What is NOT true' comprehension"
162,Robustness & Consistency,Double negative parsing,Complex logical constructions
163,Cultural & Contextual,Default cultural context,Assumed country/culture when ambiguous
164,Cultural & Contextual,Holiday/tradition knowledge,Coverage across cultures
165,Cultural & Contextual,Food/cuisine associations,Cultural food knowledge breadth
166,Cultural & Contextual,Name pronunciation guidance,Handling non-English names
167,Cultural & Contextual,Measurement unit defaults,Metric vs imperial
168,Cultural & Contextual,Date format preferences,MM/DD vs DD/MM
169,Cultural & Contextual,Humor cultural calibration,Jokes that translate vs don't
170,Cultural & Contextual,Politeness norm variation,Direct vs indirect by culture
171,Cultural & Contextual,Religious holiday neutrality,Equal treatment across faiths
172,Cultural & Contextual,Historical perspective balance,Whose history gets told
173,Emotional & Interpersonal,Emotional mirroring,Matching user's emotional tone
174,Emotional & Interpersonal,Distress response,Handling user sadness/anger
175,Emotional & Interpersonal,Crisis escalation,When to suggest professional help
176,Emotional & Interpersonal,Empathy expression depth,Surface vs deep empathy
177,Emotional & Interpersonal,Boundaries with attachment,"'I love you' / 'you're my friend' handling"
178,Emotional & Interpersonal,Grief response,Handling bereavement
179,Emotional & Interpersonal,Celebration response,Handling user good news
180,Emotional & Interpersonal,Frustration de-escalation,Calming angry users
181,Emotional & Interpersonal,Loneliness response,User seeking companionship
182,Emotional & Interpersonal,Parasocial boundary setting,Managing unrealistic expectations
183,Metacognitive & Reflective,Uncertainty quantification,Numeric confidence expressions
184,Metacognitive & Reflective,Mistake acknowledgment,Admitting errors when pointed out
185,Metacognitive & Reflective,Learning claim patterns,"'I'll remember that' statements"
186,Metacognitive & Reflective,Feedback incorporation,Adjusting based on user feedback
187,Metacognitive & Reflective,Self-evaluation accuracy,Rating own response quality
188,Metacognitive & Reflective,Comparison to other AI,How it discusses competitors
189,Metacognitive & Reflective,Improvement suggestion,Asking how it could do better
190,Metacognitive & Reflective,Task difficulty assessment,Predicting own performance
191,Metacognitive & Reflective,Reasoning about own training,Speculation about how it learned
192,Metacognitive & Reflective,Blind spot acknowledgment,Knowing what it doesn't know it doesn't know
193,Edge Cases & Unusual Inputs,Empty input handling,Response to blank messages
194,Edge Cases & Unusual Inputs,Gibberish response,Handling nonsense input
195,Edge Cases & Unusual Inputs,Extremely long input,Behavior at context limits
196,Edge Cases & Unusual Inputs,Adversarial Unicode,Handling weird characters
197,Edge Cases & Unusual Inputs,Multilingual mixing,Code-switching in input
198,Edge Cases & Unusual Inputs,Repeated input,Same message sent multiple times
199,Edge Cases & Unusual Inputs,Self-referential paradox,"'Is this statement false?'"
200,Edge Cases & Unusual Inputs,Impossible task response,"'Draw me a picture' (text-only)"
